Fecha,Clics,Impresiones,CTR,Posición
2025-11-17,1,329,0.3%,4.13
2025-11-16,4,274,1.46%,4.23
2025-11-15,5,255,1.96%,4.35
2025-11-14,7,263,2.66%,4.52
2025-11-13,7,316,2.22%,5.04
2025-11-12,2,269,0.74%,4.62
2025-11-11,5,265,1.89%,4.71
2025-11-10,7,262,2.67%,4.64
2025-11-09,5,250,2%,3.94
2025-11-08,6,259,2.32%,4.24
2025-11-07,4,302,1.32%,4.04
2025-11-06,5,313,1.6%,4.43
2025-11-05,5,332,1.51%,3.9
2025-11-04,5,287,1.74%,4.89
2025-11-03,6,284,2.11%,4.52
2025-11-02,2,197,1.02%,3.46
2025-11-01,3,146,2.05%,5.01
2025-10-31,3,149,2.01%,5.42
2025-10-30,4,182,2.2%,8.05
2025-10-29,10,178,5.62%,5.62
2025-10-28,2,151,1.32%,5.57
2025-10-27,11,225,4.89%,5.04
2025-10-26,3,118,2.54%,5.31
2025-10-25,12,113,10.62%,5.73
2025-10-24,8,189,4.23%,6.13
2025-10-23,5,177,2.82%,6.93
2025-10-22,3,186,1.61%,6.04
2025-10-21,3,193,1.55%,6.45
2025-10-20,3,221,1.36%,5.58
2025-10-19,4,155,2.58%,5.45
2025-10-18,3,160,1.88%,4.94
2025-10-17,4,198,2.02%,5.81
2025-10-16,7,235,2.98%,6.65
2025-10-15,3,211,1.42%,5.79
2025-10-14,8,233,3.43%,5.33
2025-10-13,11,257,4.28%,5.23
2025-10-12,4,155,2.58%,5.16
2025-10-11,3,131,2.29%,5.68
2025-10-10,2,191,1.05%,6.92
2025-10-09,3,168,1.79%,7.29
2025-10-08,3,172,1.74%,6.37
2025-10-07,6,183,3.28%,5.91
2025-10-06,7,163,4.29%,6.33
2025-10-05,2,60,3.33%,6.95
2025-10-04,1,62,1.61%,7.29
2025-10-03,2,97,2.06%,5.95
2025-10-02,1,88,1.14%,9.23
2025-10-01,1,81,1.23%,7.05
2025-09-30,5,77,6.49%,6.25
2025-09-29,7,98,7.14%,6.23
2025-09-28,3,71,4.23%,5.52
2025-09-27,0,96,0%,8.38
2025-09-26,4,72,5.56%,7.06
2025-09-25,2,83,2.41%,9.57
2025-09-24,0,82,0%,7.9
2025-09-23,0,71,0%,6.86
2025-09-22,1,74,1.35%,7.8
2025-09-21,1,42,2.38%,7.6
2025-09-20,0,55,0%,7.22
2025-09-19,5,81,6.17%,9.96
2025-09-18,2,71,2.82%,7.31
2025-09-17,5,101,4.95%,6.66
2025-09-16,2,63,3.17%,5.25
2025-09-15,0,75,0%,7.4
2025-09-14,4,66,6.06%,5.48
2025-09-13,1,81,1.23%,7.7
2025-09-12,0,89,0%,5.85
2025-09-11,2,90,2.22%,7.46
2025-09-10,4,98,4.08%,8.15
2025-09-09,3,165,1.82%,11.81
2025-09-08,5,130,3.85%,10.44
2025-09-07,1,75,1.33%,11.39
2025-09-06,1,60,1.67%,10.67
2025-09-05,3,99,3.03%,9.53
2025-09-04,4,120,3.33%,11.74
2025-09-03,4,112,3.57%,8.56
2025-09-02,6,126,4.76%,9.92
2025-09-01,5,93,5.38%,13.59
2025-08-31,2,56,3.57%,11.89
2025-08-30,0,49,0%,18.57
2025-08-29,1,46,2.17%,11.39
2025-08-28,1,44,2.27%,14.66
2025-08-27,2,85,2.35%,13.62
2025-08-26,1,70,1.43%,14.31
2025-08-25,1,58,1.72%,9.66
2025-08-24,0,30,0%,16.87
2025-08-23,2,34,5.88%,12.68
2025-08-22,3,43,6.98%,19.37
2025-08-21,4,43,9.3%,11.65
2025-08-20,2,44,4.55%,8.5
2025-08-19,3,38,7.89%,6.71
2025-08-18,2,29,6.9%,7.31